sme_id,date,amount,category,description,is_expense
3,2025-07-02,3137.81,Utilities,Urban Digital Services — Utilities (Jul 2025),True
3,2025-07-02,2941.76,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-02,3487.53,Payroll,Urban Digital Services — Payroll (Jul 2025),True
3,2025-07-04,7889.59,Sales - Retail,Urban Digital Services — Sales - Retail (Jul 2025),False
3,2025-07-04,6672.91,Services - Digital,Urban Digital Services — Services - Digital (Jul 2025),False
3,2025-07-05,2938.27,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-05,3028.81,Payroll,Urban Digital Services — Payroll (Jul 2025),True
3,2025-07-05,7801.56,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-05,3179.28,Payroll,Urban Digital Services — Payroll (Jul 2025),True
3,2025-07-05,6562.77,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-07,7633.87,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-11,6348.81,Sales - Retail,Urban Digital Services — Sales - Retail (Jul 2025),False
3,2025-07-11,3752.42,Marketing,Urban Digital Services — Marketing (Jul 2025),True
3,2025-07-12,6912.95,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-12,6140.57,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-13,3293.49,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-13,7420.19,Services - Digital,Urban Digital Services — Services - Digital (Jul 2025),False
3,2025-07-15,3001.82,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-16,3183.77,Marketing,Urban Digital Services — Marketing (Jul 2025),True
3,2025-07-17,2984.01,Supplies,Urban Digital Services — Supplies (Jul 2025),True
3,2025-07-17,2900.44,Logistics,Urban Digital Services — Logistics (Jul 2025),True
3,2025-07-17,3303.71,Equipment,Urban Digital Services — Equipment (Jul 2025),True
3,2025-07-17,3358.81,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-18,6102.68,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-20,6713.01,Sales - Retail,Urban Digital Services — Sales - Retail (Jul 2025),False
3,2025-07-20,3162.05,Logistics,Urban Digital Services — Logistics (Jul 2025),True
3,2025-07-23,3502.0,Supplies,Urban Digital Services — Supplies (Jul 2025),True
3,2025-07-25,5954.2,Sales - Wholesale,Urban Digital Services — Sales - Wholesale (Jul 2025),False
3,2025-07-26,3578.56,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-26,6068.94,Sales - Retail,Urban Digital Services — Sales - Retail (Jul 2025),False
3,2025-07-29,3265.46,Digital / Software,Urban Digital Services — Digital / Software (Jul 2025),True
3,2025-07-31,6777.95,Services - Digital,Urban Digital Services — Services - Digital (Jul 2025),False
3,2025-08-07,3539.52,Marketing,Urban Digital Services — Marketing (Aug 2025),True
3,2025-08-07,3017.22,Equipment,Urban Digital Services — Equipment (Aug 2025),True
3,2025-08-08,2877.66,Utilities,Urban Digital Services — Utilities (Aug 2025),True
3,2025-08-08,3468.44,Supplies,Urban Digital Services — Supplies (Aug 2025),True
3,2025-08-09,3690.86,Equipment,Urban Digital Services — Equipment (Aug 2025),True
