sme_id,date,amount,category,description,is_expense
1,2025-07-03,3501.63,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jul 2025),False
1,2025-07-06,3591.38,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
1,2025-07-07,3074.68,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
1,2025-07-09,3287.88,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
1,2025-07-12,3735.6,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
1,2025-07-18,3076.32,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
1,2025-07-20,3079.83,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jul 2025),False
1,2025-07-21,3282.96,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
1,2025-07-21,3141.29,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
1,2025-07-22,3343.62,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
1,2025-07-22,4007.48,Services - Digital,Kopi Maju Enterprise — Services - Digital (Jul 2025),False
1,2025-07-23,3839.99,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Jul 2025),False
1,2025-07-24,3261.65,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
1,2025-07-30,3775.69,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Jul 2025),False
1,2025-08-01,3727.07,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
1,2025-08-01,4114.81,Services - Digital,Kopi Maju Enterprise — Services - Digital (Aug 2025),False
1,2025-08-06,3404.68,Services - Digital,Kopi Maju Enterprise — Services - Digital (Aug 2025),False
1,2025-08-11,3401.54,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
1,2025-08-12,3145.97,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
1,2025-08-16,3381.5,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
1,2025-08-17,3830.34,Sales - Retail,Kopi Maju Enterprise — Sales - Retail (Aug 2025),False
1,2025-08-18,3342.37,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
1,2025-08-20,3614.5,Sales - Wholesale,Kopi Maju Enterprise — Sales - Wholesale (Aug 2025),False
